content,sentiments
"看上去不错啊
",0.840365817961501
"嫌尴尬可以不看啊，为什么继续看，让自己更尴尬？
",0.1983944877639523
"本来就垃圾
",0.07872780223817111
"期待
",0.6889632107023416
"这个是个日本演员......
",0.9730886419135023
"诺澜！！！
",0.11226884289051531
"预告片满分
",0.8167816157508475
"Hail海澜之家
",0.4558120760450858
"那诺澜怎么办？
",0.2951240317207794
"汉化公寓
",0.18984032595226263
"大三了
",0.44471638461027485
"八戒！
",0.23840581895007706
"是不是说。。。
",0.22216932824236746
"我觉得还可以啊
",0.5746682977321914
"五年级到大二
",0.9800763656243865
"挺好的
",0.8284246220999102
"高一了
",0.6582579723940979
"博三了
",0.41336891252587116
"高一到大学毕业四年
",0.9598287537312064
"曾小贤都变客串了，有P的料
",0.7787367926748943
"听到最终集，不知道为什么笑不出来
",0.5425414397979075
"哈哈哈哈
",0.8684210526315791
"哈哈哈哈哈哈官方吐槽
",0.9637843222026744
"大一了
",0.875
"爱乐公寓？
",0.18984032595226263
"高三了
",0.7499999999999999
"哇
",0.5262327818078083
"高四了
",0.7039561132488614
"卧槽！
",0.5
"ohhhhhhhhhhhhhhhhhh
",0.5
"研2了
",0.7731512804002681
"曾小贤变客串，所以胡一菲和空气谈恋爱？
",0.8276482942154267
"毕业2年了
",0.5494002342342955
"雨墨好漂亮
",0.9833660557828654
"高一了
",0.6582579723940979
"羽墨
",0.9462534947694483
"太尬了吧
",0.5
"第四季的时候，我初二，现在，我大一了
",0.9754398950434624
"小V
",0.4310585278661053
"印度拍的？
",0.8524404092751124
"小学二年级到高二
",0.9829007498121808
"高三了
",0.7499999999999999
"高一了
",0.6582579723940979
"！！！！！！！娄艺潇
",0.195651914222984
"我觉得OK啊，就像他们说的，关谷悠悠自己选择不出演
",0.1535579649062936
"研一了
",0.8846153846153847
"高三了
",0.7499999999999999
"研一了
",0.8846153846153847
"大一了
",0.875
"炸弹秀
",0.8630530555797126
"啊啊啊啊羽墨
",0.9922739485102574
"官方吐槽最为致命！！！
",0.19094090717997092
"道德绑架？
",0.9212839913777965
"啊！！！！诺澜
",0.12653257769842197
"快停止你们的迪士尼行为
",0.8469159796494166
"纳尼？？孩纸？哪来的！！
",0.06303061227624884
"大一了
",0.875
"大四毕业了
",0.759500716427703
"卧槽
",0.5
"三年级到高二！
",0.9282725342021845
"尴尬癌都犯了
",0.5123303351031271
"md   30岁了
",0.4748715536403344
"Wocc
",0.5
"官方吐槽最为致命
",0.5020028427555903
"高三了
",0.7499999999999999
"高三
",0.7499999999999999
"工作了
",0.5691358024691356
"那就别拍了
",0.4782608695652175
"展博也没了
",0.34120297839679514
"尬尬尬
",0.44767845850986676
"悲惨世界
",0.9787248161442288
"李佳航！！！！
",0.3962542713809579
"大三了
",0.44471638461027485
"大一了
",0.875
"其实我觉得挺真诚的
",0.7169924758048536
"大三了
",0.44471638461027485
"纳尼！！！！！！！！！！啊啊啊
",0.32719906417647937
"高三了
",0.7499999999999999
"诺澜比一菲
",0.7576560612120934
"垮掉
",0.1016947391770977
"真的拍得好
",0.6153921254837926
"啊！！！！！！羽墨回来了
",0.31329101805207815
"诺澜比一菲大噢
",0.7582277634368765
"好啊啊啊啊啊
",0.9328979201261273
"整段垮掉
",0.09249353521272985
"好与不好只想认真看完
",0.5008276482234083
"一叽咕
",0.2500000000000001
"好像悲惨世界舞台剧啊
",0.9660679181651118
"原来你也知道2分多啊！还不努力一下
",0.24926051753166478
"你否认自己的青春 有意思吗
",0.9984082415839162
"真的好棒！！！
",0.698664907313325
"大一啦
",0.5319597284008428
"展博呢
",0.5122783096101873
"硕一了
",0.5231788079470199
"LALALAN+马戏之王。。。
",0.5296503199105466
"这么多年，他们好像没有变老一样。
",0.5521703172883735
"泪目
",0.7500624229391235
"ohhhh
",0.5
"好沙雕！还差个
",0.9677304329918662
"大二了
",0.875
"一直等一
",0.5262327818078083
"跟风可太可靠了
",0.5205238395311176
"他来了他来了
",0.7499999999999999
"哈哈哈哈这很大师兄
",0.9726494070463173
"研一了
",0.8846153846153847
"初三了
",0.8
"一菲好美啊
",0.9835951537651111
"前方注入灵魂
",0.9855251454642581
"高二了
",0.7499999999999999
"啊啊啊啊啊
",0.890142453148024
"官方吐槽！？？
",0.4042623569263156
"都打工了，爱5终于有影了。
",0.9428873546945943
"大二了
",0.875
"太棒了！
",0.9005911035821151
"所有道理不用你给我讲，我都懂，但我还是要看
",0.8059697395405594
"还是先看两集再说吧
",0.3707950371782185
"人生导师!全体起立!!!!!
",0.6221525526486863
"大二了
",0.875
"OHHHHHHHHHHHH!
",0.5
"高一了
",0.6582579723940979
"大二了
",0.875
"终于有新背景了
",0.8706543246970252
"看样子王传君不会上场了，悠悠雪藏！
",0.9805316394852057
"大三啊啊啊
",0.6838544647833086
"益达！！！
",0.1329180552066498
"忙？ 咖位大了  请不起了罢了
",0.11132026082495639
"牛批啊
",0.521822209998058
"婉瑜展博呢
",0.48602752599007815
"高!富!帅!
",0.9677980581774708
"丽萨没变
",0.8346196031482946
"我的益达！！！！
",0.14936385906719918
"厕所哈哈哈哈哈哈哈哈哈哈
",0.9856030394206637
"？？？？
",0.15789473684210542
"高一了
",0.6582579723940979
"大四
",0.5838700837147079
"卧槽
",0.5
"高二了
",0.7499999999999999
"初一了
",0.8333333333333333
"白宇啊哈哈哈哈哈
",0.7681302029721829
"哈哈哈哈哈哈哈哈
",0.9751349273004098
"看着有点伤感，不知道问啥
",0.917897616706688
"张伟我爱你！
",0.3259878898396187
"抄袭真的不好，但我还是相信两位导演能做得更好
",0.4402797142532826
"喝肾宝，你好我也好
",0.6040090290314735
"一瓶提神醒脑
",0.17894525728520727
"两瓶永不疲劳
",0.6879982821822455
"三排长生不老
",0.4737672181921908
"大二了
",0.875
"肾宝，味道好极了
",0.6416387860982529
"官方吐槽
",0.4297898171504603
"尬
",0.5
"大一啦
",0.5319597284008428
"尬
",0.5
"大一了
",0.875
"不要啊，不要是最终季，说好的故事永不落幕呢
",0.9871400565742467
"@诺澜
",0.7085923308003625
"工作三年
",0.5052292914724009
"大三了
",0.44471638461027485
"有名气的都走了
",0.36245366989244865
"这镜头帅了
",0.9264932665174829
"高一了
",0.6582579723940979
"啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊阿
",0.999956420267951
"叫人家楚倩啦
",0.5858796007828936
"初二到大四
",0.8983992427227323
"益达!!!
",0.170560687031718
"初二到大四
",0.8983992427227323
"四年级到高三。。。。。
",0.9245140490974264
"小龙虾!  !  !
",0.19713298318520223
"高二了我靠
",0.7499999999999999
"卧槽卧槽
",0.4737672181921908
"噗
",0.5
"高三了
",0.7499999999999999
"我想哭了怎么办
",0.5442291502644188
"龙虾怪
",0.8113717172248371
"生活大爆炸都完结了，爱情公寓抄什么呢？
",0.7834327702711679
"雨墨
",0.81017779186841
"龙虾怪，为所欲为
",0.8856509792645431
"大一了~
",0.875
"抄袭剧
",0.34433746104485496
"龙虾怪
",0.8113717172248371
"为所欲为，龙虾怪
",0.8856509792645431
"大四了，，，
",0.6326978917011741
"小黑呢？
",0.5172403828650135
"大学毕业了
",0.9105016205107074
"..
",0.4697986577181209
"？？？？？
",0.16666666666666674
"这故事还怎么展开？
",0.9228921862294233
"一菲老了
",0.8743489860955718
"你们还知道
",0.5746682977321914
"大一了
",0.875
"？？？？？？？？？？
",0.7499999999999999
"大二了
",0.875
"好尬的歌
",0.7015622526298516
"小黑呢？
",0.5172403828650135
"帅
",0.9333333333333333
"说真的抄袭不抄袭的另说。一个剧本都要有始有终才好。结局肯定要好。如果玩尬的，草草寥寥的完结，那就是真的对不起这个剧本。观众也不认可。那就什么都完了。
",0.9811208515442833
"硕士刚毕业
",0.6682583670078586
"哇
",0.5262327818078083
"赞！
",0.9178743961352657
"工作了
",0.5691358024691356
"！！！！！！！
",0.16666666666666674
"假脸吗
",0.3429321624677736
"百老汇
",0.5
"？？？？？
",0.16666666666666674
"官方吐槽哈哈哈
",0.8174750252568255
"哈哈哈哈哈哈哈哈哈哈
",0.9957269865929866
"我要开始装b了
",0.4511603855996562
"唉要是不加新人就看个结局吧还加
",0.9722831454550419
"哈哈哈哈哈哈哈哈哈哈
",0.9957269865929866
"啊啊啊啊啊啊啊
",0.9563024306917736
"我要美嘉
",0.5
"研二了
",0.5
"尬就gun说的好
",0.5817176723447774
"墨迹半天
",0.44187308013627047
"吃益达拉肚子了
",0.27224837561035486
"从小学六年级等到大一
",0.9668149801358114
"这对期待
",0.6889632107023416
"诺澜我老婆
",0.49719896118820117
"小姨妈也不在了
",0.1175328733662192
"大一了
",0.875
"等你好久
",0.5428571428571431
"开始实习了
",0.7499999999999999
"展博去哪了
",0.49918812207228247
"刚进棺，你们呢
",0.22977943854589056
"好瘦
",0.9570916656420351
"大二了卧槽
",0.8630530555797126
"张伟！
",0.15304010386361555
"啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
",0.9996821793161005
"呼叫斯内克
",0.6184777508821596
"大一了
",0.875
"哦
",0.5262327818078083
"没有
",0.5262327818078083
"卧槽！！羽墨都有
",0.8751369921770871
"全程尬舞，一菲舞跳的不错
",0.9593406716251589
"厕所哈哈哈
",0.6597437285556755
"张伟胖了 哈哈
",0.09229038657763011
"这段好好听
",0.6421979896652565
"说抄袭的你厉害，居然看完了还在骂
",0.13847758322737558
"初三了
",0.8
"大四了
",0.5838700837147079
"既然黒一波，抄袭怎么就不说
",0.0670870232013262
"高四了
",0.7039561132488614
"高三了
",0.7499999999999999
"博士后了
",0.5
"太真实了
",0.596056569021263
"好尴尬啊
",0.44965775185203427
"爱了
",0.7483050847457626
"哇哇哇哇
",0.4737672181921908
"高三了
",0.7499999999999999
"我结婚了
",0.6071428571428569
"我觉着还不错啊
",0.6294778906561308
"这个妹子我好喜欢
",0.91514913833536
"梦开始的地方
",0.6326901619953943
"王传君让我无语
",0.9470803002489826
"初中看的，都大三了
",0.5140136114032771
"后面死神
",0.875
"爱了爱了
",0.8883660397489329
"你的益达
",0.3956840072480632
"啊啊啊啊啊啊啊啊啊啊
",0.9937750853721465
"必看!
",0.7495094991250878
"啊啊啊啊啊啊啊啊
",0.9833632823559683
"诺澜！！
",0.17763820520229867
"等你
",0.5262327818078083
"等你
",0.5262327818078083
"我要雨墨
",0.6154634171036844
"哈哈哈
",0.8684210526315791
"男演员都中年发福了
",0.900295986615576
"高一了
",0.6582579723940979
"woc
",0.5
"爱抄公墓！
",0.4737672181921908
"哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
",0.9999965575447032
"高二了
",0.7499999999999999
"谢谢
",0.5965665236051504
"张大炮
",0.31963669680190276
"大一了
",0.875
"喜欢死你们了
",0.49072573051439805
"一镜到底
",0.4543799512403879
"大一了
",0.875
"大二了
",0.875
"哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
",0.9999965575447032
"？？？
",0.09195402298850586
"Ohhhhhhhh
",0.5
"这次布景这么多？
",0.552808957604335
"大三了
",0.44471638461027485
"喜欢这个！
",0.6994590939824207
"那雨墨呢，一菲老弟和他女朋友呢
",0.9524309592862414
"大八了
",0.6522902798854012
"哈哈哈哈哈
",0.8684210526315791
"好嘞看！！
",0.46804499924256304
"弹幕有毛病是不是
",0.6938893329062453
"小神龙俱乐部
",0.577028271952056
"表情到位
",0.8141767723195965
"看起来
",0.5875212430201505
"是抄袭，没他没说错，
",0.07565343532353352
"终于能弹幕了
",0.8736261840583663
"张伟和美佳可是接过吻的，子乔你绿了/滑稽
",0.9924461157231665
"车到时候全是广告植入就行了
",0.27924453742945987
"看看关谷不会出现在爱5了
",0.546732703631725
"啊啊啊啊啊啊啊wc啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我最爱的cp，cao！
",0.9999999962025474
"工作了
",0.5691358024691356
"羽墨还是这么漂亮！！！！
",0.9788863653839791
"这一段简直多余
",0.2890140849694046
"？？？
",0.09195402298850586
"吕子乔还是又贱又可爱
",0.9756998677070788
"哇槽！！！
",0.18970634749291626
"大二了
",0.875
"首尾呼应
",0.7297953905324696
"woc
",0.5
"青春啊
",0.9852941176470588
"真特么好熟悉的场地，好像横店小镇啊！！！
",0.7527938934758528
"只要还好笑，我就想看完
",0.548886959189645
"迪士尼风哦，喜欢喜欢
",0.771109401816706
"在棺材里看
",0.48245381202719384
"大学毕业了都诶……
",0.8894150154195317
"工作了
",0.5691358024691356
"真的来了
",0.6111111111111113
"我弹幕坏了?
",0.7094327134567924
"初中到大学毕业啊
",0.9045339495174288
"哈哈哈哈哈哈哈
",0.9751349273004098
"确实尬 反正咱们都这么熟 直接正片就行了
",0.26403662313966736
"看到美嘉，我“啊”的一声叫了出来
",0.4737672181921908
"羽墨！！！！！！！！
",0.826243048016769
"这真的是大师兄？？？？？？？？
",0.8042695305203661
"这预告片玩尬的？
",0.597745636373996
"你滴盔甲没有我滴好看
",0.7052787695118201
"突然有点难过，真的结束了吗，永不完结的爱情公寓也离开我了
",0.828996952160468
"一上来就吻一波。
",0.8780844279994073
"小莲，你发福了
",0.4737672181921908
"高二啦！！！
",0.41258069071532955
"哈哈哈哈
",0.8684210526315791
"大师兄是不是瘦了？
",0.9521809139246705
"美嘉!
",0.5
"？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
",0.5
"？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
",0.5
"我的进度条告诉我确实就这么多了
",0.5721620917483922
"？？？？？？？？？？？？！
",0.5
"工作四年
",0.6414449538610969
"大三了
",0.44471638461027485
"爱五终于来了！
",0.7933583134128189
"金甲战士！
",0.8372345164633856
"又在抄了
",0.5
"来真的啊
",0.5
"小四到大三
",0.4158319890284651
"小学到大二了
",0.9623764584664988
"行了行了别喷了
",0.09898575452715785
"诺澜！
",0.35072516527654074
"大三了
",0.44471638461027485
"工作了
",0.5691358024691356
"乔嘉！！！
",0.6573095424138201
"2333333
",0.5
"大二了
",0.875
"展博还在旅游嘛
",0.45535643468104825
"米意义~~
",0.6568184872095262
"天呐我居然 能看到羽墨回归！
",0.9836254388650992
"ohhhhhhhhhhhhhhhhhh
",0.5
"再来一遍!
",0.655754717455889
"哈哈哈哈哈哈张益达看啵嘴看的好开心啊hhhhh
",0.993313595413597
"哈哈哈哈哈哈哈
",0.9751349273004098
"工作一年
",0.5916942219716432
"初二了
",0.875
"别卖了，关谷回来就看
",0.3645636601576645
"哎最终季了
",0.9339350567949686
"想婉瑜
",0.5180297910986704
"枯燥警告
",0.8148650489264853
"陈赫是里面名声最大的
",0.08344626064772354
"展博呢
",0.5122783096101873
"肯定会看 给青春一个结局 
",0.9996772226229558
"尬尼母亲呢，老觉得尬是病赶紧滚去神经科看病
",0.6696330468337676
"丽萨，爱了爱了
",0.9817927765115931
"工作5年
",0.5255568696642309
"有一说一，有点尴尬
",0.2154239964923883
"一镜到底牛壁了
",0.42848948761951766
"官方吐槽hhhhhh
",0.4042623569263156
"这句话什么意思？??
",0.48342847859311855
"小学到大学
",0.9429119228445719
"羽墨回来啦！！！！
",0.7259981465347372
"遇到白宇
",0.3579532281951455
"美嘉是不是瘦了哇
",0.8605738425877981
"前方巨高能
",0.2323054674015097
"大一
",0.5319597284008428
"小学到高三
",0.9164052441151844
"王传君不知道怎么评价
",0.9510267801061846
"为了这个预告先看两集吧
",0.6856770116867027
"卧槽卧槽卧槽
",0.44767845850986676
"啊啊啊啊啊啊
",0.9563024306917736
"啊啊啊啊
",0.890142453148024
"斯内克！！！
",0.6986649073133242
"尬
",0.5
"老了
",0.5459317585301836
"？？？？？？
",0.09090909090909094
"大三了
",0.44471638461027485
"博士后了，真怀念
",0.704255827574127
"卧槽
",0.5
"啊啊啊啊~啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
",0.999956420267951
"雨墨
",0.81017779186841
"高三了
",0.7499999999999999
"哈哈哈哈
",0.8684210526315791
"精髓啊居然细分烧好可惜
",0.3233624837721789
"Ohmygod!
",0.5
"第一次的时候风华正茂，现在已是中年油腻男了
",0.2966060178825616
"？2222
",0.5
"这段好听~~
",0.5819081706550876
"研一
",0.8846153846153847
"大五了
",0.5
"抄袭在以前季里已经自黑过了 你自己不看‘
",0.19472915309255756
"高三啦
",0.7499999999999999
"最终……季8？
",0.952861660044435
"官方吐槽
",0.4297898171504603
"尬
",0.5
"大四了
",0.5838700837147079
"哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈
",0.9992783121459906
"炉石传说
",0.21618336784671477
"社畜了
",0.618399183881904
"口区
",0.5
"前方高能预警……——％
",0.8453493863776389
"哈，管他呢，还不都是要去YouTube看未删减版
",0.4612228210645567
"好想她
",0.67195966559815
"盐汽水
",0.33969731923638047
"大二了
",0.875
"好尴尬
",0.44965775185203427
"尴尬的我鸡皮疙瘩都起来了
",0.10122268262013878
"大一咯
",0.4700073105785152
"背后的画，死神，一护
",0.9733349862106639
"展播去哪了
",0.4869103343988235
"这个长镜头牛逼
",0.7101603327652839
"那个日本广告的拍法
",0.5156757449259387
"都是自己人别唱歌行不
",0.28754944079956
"所以这一季真的大换血诶
",0.2931329308815471
" 战术自黑
",0.48845528584115905
"尴尬癌犯了
",0.48720131379284803
"卧槽
",0.5
"啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊雨墨啊啊啊啊啊啊啊我最喜欢雨墨了
",0.9999988121657518
"大二辽
",0.8630530555797126
"噢耶
",0.5
"再看亿遍
",0.6316739512502436
"张大炮
",0.31963669680190276
"高三了
",0.7499999999999999
"哈哈哈哈哈哈哈哈
",0.9751349273004098
"死内科
",0.2927997833629108
"高三了
",0.7499999999999999
"一菲一菲一菲一菲一菲一菲
",0.9999760465973224
"尬
",0.5
"玩尬的？
",0.5
"卧槽
",0.5
"丽萨
",0.8827186593507617
"王传君不想演了
",0.9766599369764605
"羽墨怎么办
",0.8911588559936323
"诺澜
",0.35072516527654074
"子乔美嘉！
",0.44488325150782415
"Lisa你刷茶 Lisa你喝牙！
",0.3663416331037812
"羽墨我女神
",0.9794033793842665
"哇，丽莎耶
",0.5
"这一对。。。。。。
",0.48275862068965514
"官方吐槽，最为致命
",0.5020028427555903
"大师兄
",0.7633737569297433
"欢迎主演
",0.7499999999999999
"日本演员，你还日语可以，可笑死我了
",0.7443821564995977
"没字幕的话就神奇了。
",0.6089720674226874
"金甲战士张益达牌张大炮
",0.6381328214372649
"这女的不是越女吗？段子倒闭前都还在被喷
",0.20860314199473728
"这女的不是越女吗？段子倒闭前都还在被喷
",0.20860314199473728
"这女的不是越女吗？段子倒闭前都还在被喷
",0.20860314199473728
"我凑
",0.26315789473684226
"雨墨啊
",0.81017779186841
"我觉得这个预告挺好的啊
",0.8670289235830233
"雨墨啊
",0.81017779186841
"卧槽。。。。。
",0.35072516527654074
"雨墨啊
",0.81017779186841
"毕业了
",0.7142857142857141
"雨墨居然回来了。。。。。。
",0.4155476499445533
"真的是同年的回忆
",0.9568267065704734
"我靠
",0.5262327818078083
"蹦迪公寓
",0.18984032595226263
"高二了
",0.7499999999999999
"？？？？？
",0.16666666666666674
"官方吐槽，最为致命
",0.5020028427555903
"大一了
",0.875
"她不在了，我要哭了
",0.557487376406152
"初中看的，现在都大四了
",0.6494886742556957
"爱乐之城5？
",0.596283090793338
"尬得我一哆嗦
",0.4737672181921908
"实习了
",0.7499999999999999
"子乔 变形了
",0.7323172974036163
"主要是人不齐了   没意思
",0.0602494922241944
"？？？？？？
",0.09090909090909094
"太久了
",0.4499999999999996
"初中到研究生
",0.867010871902587
"打预防针呢
",0.7861522365479836
"卧槽我爱你
",0.7280131706957762
"小菲菲~菲菲菲菲菲
",0.999995902991437
"小姨妈
",0.20162868552830882
"贤哥TT
",0.9418969186326694
"卧槽
",0.5
"小姨妈~
",0.20162868552830882
"理万机：？？？？？？
",0.34589120525543404
"张大炮
",0.31963669680190276
"ohhhhhhhhhhhhhhh
",0.5
